email,name,position,pronouns,notes
bartoszewski.biuroposelskie@hotmail.com,Władysław Bartoszewski,poseł,M,
wladyslaw.bartoszewski@sejm.pl,Władysław Bartoszewski,poseł,M,
pawel.bejda@sejm.pl,Paweł Bejda,poseł,M,
marek.biernacki@sejm.pl,Marek Biernacki,poseł,M,
adam.dziedzic@sejm.pl,Adam Dziedzic,poseł,M,
andrzej.grzyb@sejm.pl,Andrzej Grzyb,poseł,M,
henryk.kiepura@sejm.pl,Henryk Kiepura,poseł,M,
dariusz.klimczak@sejm.pl,Dariusz Klimczak,poseł,M,
agnieszka.klopotek@sejm.pl,Agnieszka Kłopotek,poseł,F,
wladyslaw.kosiniak-kamysz@sejm.pl,Władysław Kosiniak-Kamysz,poseł,M,
stefan.krajewski@sejm.pl,Stefan Krajewski,poseł,M,
radoslaw.lubczyk@sejm.pl,Radosław Lubczyk,poseł,M,
miroslaw.maliszewski@sejm.pl,Mirosław Maliszewski,poseł,M,
urszula.nowogorska@sejm.pl,Urszula Nowogórska,poseł,F,
urszula@nowogorska.com,Urszula Nowogórska,poseł,F,
miroslaw.orlinski@sejm.pl,Mirosław Orliński,poseł,M,
urszula.paslawska@sejm.pl,Urszula Pasławska,poseł,F,
krzysztof.paszyk@sejm.pl,Krzysztof Paszyk,poseł,M,
michal.pyrzyk@sejm.pl,Michał Pyrzyk,poseł,M,
